Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
162.125.81.1-192.168.14.155-443-54904-6,192.168.14.155,54904,162.125.81.1,443,6,21/11/2019 11:30:18 AM,414,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,185990.3381642512,7246.376811594203,207.0,257.3868683519033,389.0,25.0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,1,0,0,64,32,4830.917874396136,2415.458937198068,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,0,10,0,15,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
162.125.81.1-192.168.14.155-443-54904-6,162.125.81.1,443,192.168.14.155,54904,6,21/11/2019 11:30:18 AM,55,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18181.81818181818,18181.81818181818,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,66,0,0,0,0,0,0,0,0,0,0,No Label
172.217.169.227-192.168.14.155-443-55518-6,192.168.14.155,55518,172.217.169.227,443,6,21/11/2019 11:30:19 AM,237859,3,3,631.0,0.0,631.0,0.0,210.33333333333331,364.3080198586539,0.0,0.0,0.0,0.0,2652.832140049357,25.225028273052523,47571.8,85070.46635407614,198668.0,42.0,224728.0,112364.0,157315.70246482073,223603.0,1125.0,39191.0,19595.5,9201.580543580543,26102.0,13089.0,0,0,0,0,96,112,12.612514136526261,12.612514136526261,0.0,631.0,90.14285714285715,238.49558246882236,56880.14285714285,1,2,0,1,5,0,0,0,1.0,105.16666666666667,210.33333333333334,0.0,0,0,0,0,0,0,0,105,0,0,-1,241,1,0,0,0,0,0,1.5743178192734428E15,19216.260753157294,1.574317819294068E15,1.574317819256044E15,No Label
192.168.14.155-54.192.151.117-40890-443-6,192.168.14.155,40890,54.192.151.117,443,6,21/11/2019 11:30:16 AM,5810813,9,8,674.0,3957.0,517.0,0.0,74.88888888888889,170.89868668632627,1448.0,0.0,494.62499999999994,650.8787329449319,796.9624904466897,2.9255802931534713,363175.8125,1303754.8567324672,5248387.0,6.0,5733021.0,716627.625,1833259.8284670736,5248387.0,30.0,522343.0,74620.42857142857,59901.900097456964,170968.0,915.0,0,0,0,0,312,272,1.5488366257871318,1.3767436673663394,0.0,1448.0,257.2777777777778,486.0044547793358,236200.33006535945,1,2,0,5,16,0,0,0,0.0,272.4117647058824,74.88888888888889,494.625,0,0,0,0,6,10411,0,39,0,232,-1,118,3,0,0,0,0,0,1.5743178176172655E15,1464754.838602428,1.574317822670765E15,1.574317816900108E15,No Label
192.168.14.155-54.192.151.117-40892-443-6,192.168.14.155,40892,54.192.151.117,443,6,21/11/2019 11:30:16 AM,5790696,9,8,674.0,3957.0,517.0,0.0,74.88888888888889,170.89868668632627,1448.0,0.0,494.62500000000006,650.8787329449319,799.7311549423421,2.93574382077733,361918.5,1370687.436809574,5500660.0,16.0,5712615.0,714076.875,1934623.1951772517,5500660.0,16.0,247361.0,35337.28571428572,42540.839851113604,84424.0,308.0,0,0,0,0,288,272,1.5542173168821158,1.381526503895214,0.0,1448.0,257.2777777777778,486.0044547793358,236200.33006535945,1,2,0,5,16,0,0,0,0.0,272.4117647058824,74.88888888888889,494.625,0,0,0,0,6,27366,0,39,0,232,-1,118,3,0,0,0,0,0,1.5743178174732352E15,1496864.3341270536,1.574317822668473E15,1.5743178169205E15,No Label
192.168.14.155-35.166.89.106-36212-443-6,192.168.14.155,36212,35.166.89.106,443,6,21/11/2019 11:30:20 AM,5841680,10,8,800.0,3065.0,517.0,0.0,80.0,161.93345684090255,1448.0,0.0,383.125,658.5324457783815,661.6247380890428,3.081305377904986,343628.23529411765,758978.5954779562,3131708.0,32.0,5552804.0,616978.2222222222,1042044.566269094,3224869.0,80.0,2709892.0,387127.4285714286,325925.96664828504,969470.0,1091.0,0,0,0,0,344,284,1.7118363210583256,1.3694690568466605,0.0,1448.0,203.42105263157896,454.8328527894705,206872.92397660817,1,2,0,6,17,0,0,0,0.0,214.72222222222223,80.0,383.125,0,0,0,0,7,1680,0,44,0,170,-1,119,4,0,0,0,0,0,1.574317822543242E15,1379015.9426229915,1.574317826618148E15,1.574317820869762E15,No Label
192.168.14.155-35.166.89.106-36210-443-6,192.168.14.155,36210,35.166.89.106,443,6,21/11/2019 11:30:20 AM,5841903,10,7,1191.0,3065.0,517.0,0.0,119.10000000000001,213.32471336751712,1448.0,0.0,437.85714285714283,691.3634906403984,728.529727385066,2.9100106591978676,365118.9375,885561.4365863402,3584858.0,9.0,5538445.0,615382.7777777778,1143968.1332683372,3584858.0,9.0,2212496.0,368749.3333333333,314057.90049713233,991046.0,150213.0,0,0,0,0,344,252,1.7117709759987456,1.1982396831991218,0.0,1448.0,236.44444444444437,469.9837571939521,220884.73202614373,1,2,0,6,16,0,0,0,0.0,250.35294117647058,119.1,437.85714285714283,0,0,0,0,7,2216,0,70,0,180,-1,119,4,0,0,0,0,0,1.574317822494488E15,1367665.6722749656,1.574317826666961E15,1.574317820869685E15,No Label
192.168.14.155-35.160.208.145-32830-443-6,192.168.14.155,32830,35.160.208.145,443,6,21/11/2019 11:29:48 AM,38738255,6,6,31.0,31.0,31.0,0.0,5.166666666666667,12.655697004379753,31.0,0.0,5.166666666666667,12.655697004379753,1.600485101871522,0.3097713100396494,3521659.5454545454,4738351.326789041,1.0204787E7,29.0,2.8246238E7,5649247.6,5324652.09617974,1.0499968E7,29.0,3.873792E7,7747584.0,4439977.282227185,1.0499679E7,293839.0,0,0,0,0,192,192,0.1548856550198247,0.1548856550198247,0.0,31.0,4.769230769230768,11.641548051081566,135.52564102564102,1,0,0,2,12,0,0,0,1.0,5.166666666666667,5.166666666666667,5.166666666666667,0,0,0,0,0,0,0,2,0,2,-1,187,1,0,0,0,0,0,1.574317810794013E15,1.3440711381261159E7,1.574317826832612E15,1.574317788682183E15,No Label
192.168.14.155-35.166.89.106-36212-443-6,35.166.89.106,443,192.168.14.155,36212,6,21/11/2019 11:30:27 AM,82,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,378048.78048780485,36585.365853658535,41.0,38.18376618407357,68.0,14.0,0,0,0,0,0,68.0,68.0,0.0,68.0,68.0,0,1,0,0,32,52,12195.121951219511,24390.243902439022,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,0,0,0,10,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-35.166.89.106-36210-443-6,35.166.89.106,443,192.168.14.155,36210,6,21/11/2019 11:30:27 AM,310,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,100000.0,9677.41935483871,155.0,140.0071426749364,254.0,56.0,0,0,0,0,0,56.0,56.0,0.0,56.0,56.0,0,1,0,0,32,52,3225.8064516129034,6451.612903225807,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,0,0,0,10,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
