Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.2.207-192.168.14.25-7777-51083-6,192.168.2.207,7777,192.168.14.25,51083,6,12/11/2019 10:36:12 AM,4494918,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4449469378529263,4494918.0,0.0,4494918.0,4494918.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0.22247346892646316,0.22247346892646316,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,5840,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.105-192.168.17.91-51802-7680-6,192.168.17.91,7680,192.168.14.105,51802,6,12/11/2019 10:36:24 AM,5361,3,1,87.0,0.0,75.0,0.0,29.0,40.28647415696737,0.0,0.0,0.0,0.0,16228.315612758814,746.1294534601753,1787.0,1358.7497930082639,2968.0,302.0,2393.0,1196.5,1265.0140315427336,2091.0,302.0,0,0,0,0,0,0,0,0,0,60,32,559.5970900951314,186.53236336504384,0.0,75.0,17.4,32.61594701982452,1063.8,1,1,0,2,4,0,0,0,0.0,21.75,29.0,0.0,0,0,0,0,0,0,0,21,0,0,-1,65535,2,0,0,0,0,0,1.573536984150924E15,0.0,1.573536984150924E15,1.573536984150924E15,No Label
151.101.8.238-192.168.14.155-443-51858-6,192.168.14.155,51858,151.101.8.238,443,6,12/11/2019 10:36:31 AM,275846,10,8,835.0,4513.0,517.0,0.0,83.5,164.92843565889083,1448.0,0.0,564.125,692.580358926983,19387.62932940844,65.25380103391024,16226.235294117647,31945.140006989743,89690.0,5.0,198762.0,22084.666666666668,36753.54117972852,90319.0,23.0,275147.0,39306.71428571428,48532.64672264188,101994.0,34.0,0,0,0,0,320,272,36.25211168550568,29.001689348404547,0.0,1448.0,281.47368421052636,511.68473023717905,261821.2631578947,1,2,0,7,17,0,0,0,0.0,297.1111111111111,83.5,564.125,0,0,0,0,9,30360,0,46,0,250,-1,61,4,0,0,0,0,0,1.5735369913966688E15,72039.28869741045,1.573536991496339E15,1.573536991220659E15,No Label
151.101.8.238-192.168.14.155-443-51860-6,192.168.14.155,51860,151.101.8.238,443,6,12/11/2019 10:36:31 AM,288713,10,8,835.0,4513.0,517.0,0.0,83.5,164.92843565889083,1448.0,0.0,564.125,692.580358926983,18523.585706220365,62.345651217645205,16983.117647058825,33633.93379438828,100799.0,7.0,212116.0,23568.444444444445,39612.149604354694,102007.0,23.0,287427.0,41060.99999999999,50770.70472887556,104718.0,22.0,0,0,0,0,320,272,34.63647289869178,27.709178318953423,0.0,1448.0,281.47368421052636,511.68473023717905,261821.2631578947,1,2,0,7,17,0,0,0,0.0,297.1111111111111,83.5,564.125,0,0,0,0,9,28588,0,46,0,250,-1,61,4,0,0,0,0,0,1.5735369914016848E15,75613.85338421038,1.573536991510304E15,1.573536991221745E15,No Label
151.101.8.238-192.168.14.155-443-51858-6,151.101.8.238,443,192.168.14.155,51858,6,12/11/2019 10:36:31 AM,59,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,525423.7288135594,50847.457627118645,29.5,24.748737341529164,47.0,12.0,0,0,0,0,0,47.0,47.0,0.0,47.0,47.0,0,1,0,0,32,52,16949.15254237288,33898.30508474576,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,0,0,0,10,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
151.101.8.238-192.168.14.155-443-51860-6,151.101.8.238,443,192.168.14.155,51860,6,12/11/2019 10:36:31 AM,659,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,47040.97116843703,4552.352048558422,329.5,420.72853480599576,627.0,32.0,0,0,0,0,0,32.0,32.0,0.0,32.0,32.0,0,1,0,0,32,52,1517.4506828528074,3034.901365705615,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,0,0,0,10,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
172.217.169.238-192.168.14.155-443-43466-6,192.168.14.155,43466,172.217.169.238,443,6,12/11/2019 10:36:20 AM,14707333,21,17,2059.0,1493.0,642.0,0.0,98.04761904761907,183.93517232722948,564.0,0.0,87.82352941176472,157.3214207022194,241.51217627288372,2.5837451290454903,397495.4864864866,2347283.784370395,1.42886E7,3.0,1.4694503E7,734725.1500000001,3190499.1873109476,1.42886E7,8.0,1.470662E7,919163.7500000002,3578574.471586798,1.433785E7,9.0,0,0,0,0,672,560,1.4278591502619815,1.155885978783509,0.0,642.0,91.07692307692307,168.75229193225394,28477.33603238866,1,2,0,19,37,0,0,0,0.0,93.47368421052632,98.04761904761905,87.82352941176471,0,0,0,0,9,13786,0,54,0,39,-1,261,9,0,0,0,0,0,1.5735369896708138E15,7202362.4015966,1.573536995510249E15,1.573536980803426E15,No Label
172.217.169.238-192.168.14.155-443-43466-6,172.217.169.238,443,192.168.14.155,43466,6,12/11/2019 10:36:35 AM,27,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111111.11111111111,13.5,7.7781745930520225,19.0,8.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,64,32,74074.07407407407,37037.03703703704,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-23.198.105.137-56546-443-6,192.168.14.155,56546,23.198.105.137,443,6,12/11/2019 10:36:36 AM,5316276,10,8,674.0,4426.0,517.0,0.0,67.39999999999999,162.85590085853337,1448.0,0.0,553.25,682.0632040256345,959.3181392388205,3.385828726725249,312722.1176470588,1190983.8338469316,4931606.0,9.0,5209180.0,578797.7777777778,1633289.871659022,4931606.0,20.0,341110.0,48730.0,59494.95253100608,119931.0,35.0,0,0,0,0,320,272,1.881015959291805,1.504812767433444,0.0,1448.0,268.42105263157896,506.6411524046793,256685.25730994146,1,2,0,6,17,0,0,0,0.0,283.3333333333333,67.4,553.25,0,0,0,0,7,21818,0,37,0,245,-1,235,3,0,0,0,0,0,1.5735369966338985E15,1311773.23032032,1.573537001367516E15,1.57353699609484E15,No Label
192.168.14.155-23.198.105.137-56546-443-6,23.198.105.137,443,192.168.14.155,56546,6,12/11/2019 10:36:41 AM,82,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,378048.78048780485,36585.365853658535,41.0,38.18376618407357,68.0,14.0,0,0,0,0,0,68.0,68.0,0.0,68.0,68.0,0,1,0,0,32,52,12195.121951219511,24390.243902439022,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,0,0,0,10,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
