Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.14.155-54.186.56.40-48236-443-6,192.168.14.155,48236,54.186.56.40,443,6,13/11/2019 11:27:32 AM,311,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,247588.42443729902,9646.302250803858,155.5,185.969083452062,287.0,24.0,24.0,24.0,0.0,24.0,24.0,0,0,0,0,0,0,1,0,0,64,32,6430.868167202572,3215.434083601286,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,0,10,0,15,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-54.186.56.40-48236-443-6,54.186.56.40,443,192.168.14.155,48236,6,13/11/2019 11:27:33 AM,63,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31746.031746031746,63.0,0.0,63.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,15873.015873015873,15873.015873015873,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,148,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-35.222.85.5-53734-80-6,192.168.14.155,53734,35.222.85.5,80,6,13/11/2019 11:27:38 AM,451213,3,5,87.0,148.0,87.0,0.0,29.0,50.22947341949744,148.0,0.0,29.6,66.18761213399378,520.8183274861318,17.72998561654917,64459.0,109616.59560182178,224970.0,27.0,226132.0,113066.0,159635.0127071126,225945.0,187.0,451213.0,112803.25000000001,129618.86344555204,225142.0,95.0,0,0,0,0,96,176,6.6487446062059385,11.08124101034323,0.0,148.0,26.11111111111111,54.01028708599049,2917.1111111111113,1,2,0,2,7,0,0,0,1.0,29.375,29.0,29.6,0,0,0,0,0,0,0,10,0,18,-1,229,1,0,0,0,0,0,1.5736264589585575E15,188160.30224130934,1.573626459138419E15,1.573626458688323E15,No Label
192.168.14.155-104.16.27.34-40952-443-6,192.168.14.155,40952,104.16.27.34,443,6,13/11/2019 11:27:45 AM,354,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,217514.1242937853,8474.57627118644,177.0,217.78888860545663,331.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,1,0,0,40,20,5649.717514124294,2824.858757062147,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,0,10,0,15,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-104.16.27.34-40952-443-6,104.16.27.34,443,192.168.14.155,40952,6,13/11/2019 11:27:45 AM,61,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32786.88524590164,61.0,0.0,61.0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16393.44262295082,16393.44262295082,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,36,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.84-192.168.14.110-57577-445-6,192.168.14.84,57577,192.168.14.110,445,6,13/11/2019 11:28:27 AM,1347,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2227.1714922048996,673.5,936.9164850721754,1336.0,11.0,11.0,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,40,32,1484.7809948032664,742.3904974016332,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.8-192.168.14.131-443-57215-6,192.168.1.8,443,192.168.14.131,57215,6,13/11/2019 11:29:04 AM,11,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,2818181.8181818184,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,90909.09090909091,90909.09090909091,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,0,0,0,15,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,13/11/2019 11:27:31 AM,119805113,833,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.961305566315855,143823.66506602647,599329.9187838461,6704341.0,1.0,1.19803694E8,143994.8245192306,599670.0466870343,6704341.0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.952958677147611,0.00834688916824443,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1.5736265140531808E15,1.5750674547096143E7,1.57362657175075E15,1.573626451951646E15,No Label
136.153.35.0-0.0.186.41-0-0-0,136.153.35.0,0,0.0.186.41,0,0,13/11/2019 11:27:31 AM,119998657,120,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083446183901876,999988.8083333333,58.88905618513238,1000141.0,999840.0,1.18998682E8,999988.9243697473,59.12428157931742,1000141.0,999840.0,0,0,0,0,0,0,0,0,0,0,0,1.0000111917919214,0.008333426598266013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1.5736265119979728E15,3.449594391171389E7,1.573626570997455E15,1.573626452998744E15,No Label
192.168.14.155-34.237.73.95-56452-443-6,192.168.14.155,56452,34.237.73.95,443,6,13/11/2019 11:27:34 AM,79356615,5,5,288.0,1002.0,288.0,0.0,57.6,128.79751550398788,325.0,32.0,200.4,154.4677959964471,16.2557336902538,0.12601343945933177,8817401.666666666,1.452391519948929E7,4.0669691E7,54.0,7.9158921E7,1.978973025E7,1.6539888072535709E7,4.0669691E7,196287.0,7.9356555E7,1.983913875E7,1.662203705059123E7,4.0865966E7,197627.0,0,1,0,0,160,160,0.06300671972966589,0.06300671972966589,0.0,325.0,143.45454545454544,153.5443672925605,23575.872727272726,0,0,0,6,10,0,0,0,1.0,157.8,57.6,200.4,0,0,0,0,0,0,0,28,0,100,-1,396,1,0,0,0,0,0,1.573626492154619E15,3.1011508590783715E7,1.573626534168264E15,1.573626454811842E15,No Label
