Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
140.82.114.26-192.168.14.155-443-47116-6,192.168.14.155,47116,140.82.114.26,443,6,06/12/2019 01:46:01 PM,155,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,154838.70967741936,19354.83870967742,77.5,79.90306627407988,134.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,0,0,0,0,64,32,12903.225806451614,6451.612903225807,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,0,8,0,0,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
169.254.249.70-169.254.255.255-137-137-17,169.254.249.70,137,169.254.255.255,137,17,06/12/2019 01:41:14 PM,2584878,14,1,898.0,68.0,68.0,50.0,64.14285714285714,7.664675645273762,68.0,68.0,68.0,0.0,373.71202818856443,5.802981804170256,184634.14285714284,137503.88384604725,421584.0,46201.0,2364739.0,181902.99999999997,142722.7998686031,421584.0,46201.0,0,0,0,0,0,0,0,0,0,112,8,5.416116350558905,0.38686545361135033,50.0,68.0,64.62499999999999,7.256031973468695,52.650000000000006,0,0,0,0,0,0,0,0,0.0,68.93333333333334,64.14285714285714,68.0,0,0,0,0,15,373,0,59,0,4,-1,-1,14,0,0,0,0,0,1.5756216754310238E15,759715.2831109258,1.575621676507295E15,1.575621674171925E15,No Label
169.254.100.100-255.255.255.255-68-67-17,169.254.100.100,68,255.255.255.255,67,17,06/12/2019 01:42:12 PM,31018869,5,1,1500.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,0.0,58.02919506833083,0.19343065022776942,6203773.8,6105896.352263089,1.6000697E7,961753.0,3.0057116E7,7514279.0,6185450.764328013,1.6000697E7,2024012.0,0,0,0,0,0,0,0,0,0,40,8,0.1611922085231412,0.03223844170462824,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,350.0,300.0,300.0,0,0,0,0,0,0,0,250,0,50,-1,-1,5,0,0,0,0,0,1.5756217430055572E15,9281567.861704154,1.575621755744562E15,1.575621734781922E15,No Label
192.168.14.38-205.185.216.10-58407-80-6,205.185.216.10,80,192.168.14.38,58407,6,06/12/2019 01:46:17 PM,9161,3,1,495.0,0.0,495.0,0.0,165.0,285.78838324886476,0.0,0.0,0.0,0.0,54033.40246697958,436.6335552887239,3053.666666666667,4476.740145835285,8220.0,319.0,8539.0,4269.5,5586.850678154912,8220.0,319.0,0,0,0,0,0,0,0,0,0,60,32,327.47516646654293,109.15838882218098,0.0,495.0,99.0,221.37072977247917,49005.0,1,1,0,1,4,0,0,0,0.0,123.75,165.0,0.0,0,0,0,0,0,0,0,123,0,0,-1,65228,1,0,0,0,0,0,1.575621977091457E15,0.0,1.575621977091457E15,1.575621977091457E15,No Label
192.168.14.155-116.202.114.39-48338-80-6,192.168.14.155,48338,116.202.114.39,80,6,06/12/2019 01:44:26 PM,114151801,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2102463543260259,4963121.782608695,6544626.905131616,2.1523166E7,19.0,1.14151736E8,1.0377430545454547E7,5743780.839223,2.1523211E7,497076.0,1.14151778E8,1.0377434363636365E7,5704808.019760178,2.1523211E7,626936.0,0,0,0,0,384,384,0.10512317716301295,0.10512317716301295,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,271,0,0,0,0,0,0,1.5756219271166422E15,3.433559736205371E7,1.575621980555468E15,1.575621866403852E15,No Label
136.153.35.0-0.0.133.44-0-0-0,136.153.35.0,0,0.0.133.44,0,0,06/12/2019 01:44:36 PM,119999195,120,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083400976148216,999993.2916666665,16.489566771903238,1000060.0,999919.0,1.18999203E8,999993.3025210084,16.5588598957876,1000060.0,999919.0,0,0,0,0,0,0,0,0,0,0,0,1.0000067083783353,0.008333389236486128,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1.5756219367629552E15,3.449613734423099E7,1.57562199576258E15,1.575621877763358E15,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,06/12/2019 01:44:47 PM,119002023,82,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6974671346553496,1451244.182926829,1931343.821407492,1.2110769E7,650.0,1.14835882E8,1417726.938271605,1919230.135000147,1.2110769E7,650.0,0,0,0,0,0,0,0,0,0,0,0,0.6890639161655261,0.008403218489823488,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1.5756219482659545E15,3.2516259482167657E7,1.575622005618401E15,1.575621887451692E15,No Label
192.168.14.249-239.255.255.250-50128-1900-17,192.168.14.249,50128,239.255.255.250,1900,17,06/12/2019 01:44:01 PM,76127920,11,1,1463.0,133.0,133.0,133.0,133.0,0.0,133.0,133.0,133.0,0.0,20.96471307767242,0.15762942163663476,6920720.000000001,1.2938796150376836E7,4.5932604E7,3005365.0,7.312082E7,7312082.0,1.356988657348495E7,4.5932604E7,3005365.0,0,0,0,0,0,0,0,0,0,88,8,0.14449363650024852,0.01313578513638623,133.0,133.0,133.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,144.08333333333334,133.0,133.0,0,0,0,0,0,0,0,121,0,11,-1,-1,11,0,0,0,0,0,1.5756218798351558E15,3.043561070856048E7,1.57562191489018E15,1.575621844781635E15,No Label
192.168.14.178-224.0.0.251-5353-5353-17,192.168.14.178,5353,224.0.0.251,5353,17,06/12/2019 01:40:55 PM,1000595,3,1,84.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,111.93339962722182,3.997621415257922,333531.6666666666,576228.489092073,998903.0,731.0,999634.0,499817.0,705814.1899905385,998903.0,731.0,0,0,0,0,0,0,0,0,0,24,8,2.9982160614434417,0.9994053538144805,28.0,28.0,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,35.0,28.0,28.0,0,0,0,0,4,111,0,21,0,7,-1,-1,3,0,0,0,0,0,1.5756216560480015E15,705134.6603738182,1.575621656546607E15,1.575621655549396E15,No Label
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,06/12/2019 01:44:41 PM,114807076,9,1,2744.0,311.0,311.0,300.0,304.8888888888889,5.797509043642031,311.0,311.0,311.0,0.0,26.609858089234848,0.08710264513661162,1.2756341777777778E7,1.634497348860226E7,5.4527314E7,702094.0,6.0279762E7,7534970.25,4990696.792268555,1.7005481E7,702094.0,0,0,0,0,0,0,0,0,0,72,8,0.07839238062295045,0.008710264513661161,300.0,311.0,305.99999999999994,5.7445626465380295,33.000000000000014,0,0,0,0,0,0,0,0,0.0,336.6,304.8888888888889,311.0,0,0,0,0,0,0,0,274,0,31,-1,-1,9,0,0,0,0,0,1.4005528572933255E15,5.2520730103725506E14,1.575621995940075E15,5.4527314E7,No Label
