Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label
172.217.19.2-192.168.14.155-443-34742-6,172.217.19.2,443,192.168.14.155,34742,6,02/12/2019 09:35:57 AM,482,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6224.066390041494,241.0,305.47012947258855,457.0,25.0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,64,32,4149.377593360996,2074.688796680498,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,248,0,0,0,0,0,0,0,0,0,0,No Label
182.161.72.131-192.168.14.155-443-35072-6,182.161.72.131,443,192.168.14.155,35072,6,02/12/2019 09:35:57 AM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,68,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.247-192.168.22.46-63901-7680-6,192.168.22.46,7680,192.168.14.247,63901,6,02/12/2019 09:36:01 AM,2134,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.207122774133,2134.0,0.0,2134.0,2134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,468.6035613870665,468.6035613870665,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
172.217.19.3-192.168.14.155-443-36642-6,192.168.14.155,36642,172.217.19.3,443,6,02/12/2019 09:36:03 AM,210,1,1,24.0,39.0,24.0,24.0,24.0,0.0,39.0,39.0,39.0,0.0,300000.0,9523.809523809523,210.0,0.0,210.0,210.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,4761.9047619047615,4761.9047619047615,24.0,39.0,34.0,8.660254037844387,75.0,1,0,0,2,2,0,0,0,1.0,51.0,24.0,39.0,0,0,0,0,0,0,0,12,0,19,-1,931,1,0,0,0,0,0,0,0,0,0,No Label
172.217.19.163-192.168.14.155-443-51266-6,192.168.14.155,51266,172.217.19.163,443,6,02/12/2019 09:36:03 AM,392,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,160714.2857142857,7653.061224489797,196.0,270.1147904132612,387.0,5.0,5.0,5.0,0.0,5.0,5.0,0,0,0,0,0,0,1,0,0,64,32,5102.040816326531,2551.0204081632655,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,0,8,0,13,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
172.217.19.3-192.168.14.155-443-36642-6,172.217.19.3,443,192.168.14.155,36642,6,02/12/2019 09:36:03 AM,383,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5221.9321148825065,383.0,0.0,383.0,383.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2610.9660574412533,2610.9660574412533,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
172.217.19.163-192.168.14.155-443-51266-6,172.217.19.163,443,192.168.14.155,51266,6,02/12/2019 09:36:03 AM,13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153846.15384615384,13.0,0.0,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,76923.07692307692,76923.07692307692,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,249,0,0,0,0,0,0,0,0,0,0,No Label
157.240.7.26-192.168.14.155-443-46174-6,192.168.14.155,46174,157.240.7.26,443,6,02/12/2019 09:36:06 AM,154,2,1,24.0,39.0,24.0,0.0,12.0,16.97056274847714,39.0,39.0,39.0,0.0,409090.90909090906,19480.51948051948,77.0,96.16652224137046,145.0,9.0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,0,0,1,0,0,64,32,12987.012987012988,6493.506493506494,0.0,39.0,25.5,18.411952639521967,339.0,1,0,0,2,3,0,0,0,0.0,34.0,12.0,39.0,0,0,0,0,0,0,0,8,0,13,-1,5473,1,0,0,0,0,0,0,0,0,0,No Label
157.240.7.26-192.168.14.155-443-46174-6,157.240.7.26,443,192.168.14.155,46174,6,02/12/2019 09:36:06 AM,74,1,2,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,19.5,27.577164466275352,527027.0270270271,40540.54054054054,37.0,33.94112549695428,61.0,13.0,0,0,0,0,0,61.0,61.0,0.0,61.0,61.0,0,1,0,0,32,52,13513.513513513513,27027.027027027027,0.0,39.0,19.5,22.516660498395403,507.0,1,0,1,1,2,0,0,0,2.0,26.0,0.0,19.5,0,0,0,0,0,0,0,0,0,13,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-23.58.57.98-33546-443-6,192.168.14.155,33546,23.58.57.98,443,6,02/12/2019 09:35:49 AM,21905679,4,4,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0.0,0.0,0.0,0.0,1.4151581423246455,0.36520210124506985,3129382.714285714,4871123.079034331,1.02573E7,9.0,1.1405648E7,3801882.666666667,5811783.4640237875,1.0491989E7,9.0,2.1233205E7,7077735.0,5919287.999985133,1.0498503E7,242731.0,0,0,0,0,128,128,0.18260105062253493,0.18260105062253493,0.0,31.0,3.4444444444444446,10.333333333333332,106.77777777777777,1,0,0,1,8,0,0,0,1.0,3.875,7.75,0.0,0,0,0,0,0,0,0,3,0,0,-1,252,1,0,0,0,0,0,1.575261362438715E15,8706967.459208453,1.575261371275409E15,1.575261350094858E15,No Label
192.168.14.155-54.192.150.11-35326-443-6,192.168.14.155,35326,54.192.150.11,443,6,02/12/2019 09:36:15 AM,485,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,158762.88659793814,6185.567010309278,242.5,310.41987694089437,462.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,0,1,0,0,64,32,4123.711340206185,2061.8556701030925,0.0,46.0,30.75,21.68524844220144,470.25,1,0,0,2,3,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,0,10,0,15,-1,10632,1,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-54.192.150.11-35326-443-6,54.192.150.11,443,192.168.14.155,35326,6,02/12/2019 09:36:15 AM,402,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4975.124378109453,402.0,0.0,402.0,402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2487.5621890547263,2487.5621890547263,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,719,0,0,0,0,0,0,0,0,0,0,No Label
