Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.14.155-93.184.220.29-48152-80-6,192.168.14.155,48152,93.184.220.29,80,6,20/11/2019 09:32:52 AM,44120454,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24931747075857377,4412045.399999999,4997244.710715034,1.0129192E7,110842.0,3.3880497E7,8470124.25,3539761.5001074458,1.0240044E7,3160482.0,4.1071116E7,8214223.2,4529944.038500663,1.025715E7,110842.0,0,0,0,0,160,192,0.113326123072079,0.1359913476864948,0.0,0.0,0.0,0.0,0.0,1,0,0,0,11,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,285,0,0,0,0,0,0,1.5742243932330405E15,1.3330176680035755E7,1.574224413544591E15,1.574224372934348E15,No Label
192.168.14.155-52.34.16.131-36252-443-6,192.168.14.155,36252,52.34.16.131,443,6,20/11/2019 09:32:54 AM,42580652,6,6,31.0,0.0,31.0,0.0,5.166666666666667,12.655697004379753,0.0,0.0,0.0,0.0,0.7280301861042429,0.2818181365564811,3870968.3636363638,5023074.581368194,1.0206858E7,25.0,3.2088674E7,6417734.8,5588461.169531797,1.0496062E7,25.0,4.2269289E7,8453857.8,4563901.718365625,1.04961E7,289703.0,0,0,0,0,192,192,0.14090906827824054,0.14090906827824054,0.0,31.0,2.3846153846153846,8.597853041491051,73.92307692307693,1,0,0,1,12,0,0,0,1.0,2.5833333333333335,5.166666666666667,0.0,0,0,0,0,0,0,0,2,0,0,-1,114,1,0,0,0,0,0,1.574224397719437E15,1.4512226699888896E7,1.574224416526815E15,1.574224374814282E15,No Label
192.168.14.155-52.34.16.131-36252-443-6,52.34.16.131,443,192.168.14.155,36252,6,20/11/2019 09:33:37 AM,93,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,333333.3333333334,32258.064516129034,46.5,44.54772721475249,78.0,15.0,0,0,0,0,0,78.0,78.0,0.0,78.0,78.0,0,1,0,0,32,52,10752.688172043012,21505.376344086024,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,0,0,0,10,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-35.224.99.156-48126-80-6,192.168.14.155,48126,35.224.99.156,80,6,20/11/2019 09:34:23 AM,440803,3,5,87.0,148.0,87.0,0.0,29.0,50.22947341949744,148.0,0.0,29.6,66.18761213399378,533.117968797853,18.148696810139676,62971.85714285713,107445.87549929279,220291.0,15.0,220401.0,110200.5,155671.679198562,220277.0,124.0,440803.0,110200.75000000001,127208.46579630618,220442.0,32.0,0,0,0,0,96,176,6.805761303802379,11.342935506337298,0.0,148.0,26.11111111111111,54.01028708599049,2917.1111111111113,1,2,0,2,7,0,0,0,1.0,29.375,29.0,29.6,0,0,0,0,0,0,0,10,0,18,-1,229,1,0,0,0,0,0,1.5742244639543258E15,184298.05610258316,1.574224464130592E15,1.574224463689938E15,No Label
192.168.14.155-110.93.194.206-45382-443-6,192.168.14.155,45382,110.93.194.206,443,6,20/11/2019 09:32:51 AM,96634146,468,888,3630.0,1251022.0,1210.0,0.0,7.756410256410252,96.66986393211484,2112.0,0.0,1408.8085585585582,199.88269799900888,12983.52654764497,14.032306965283265,71316.71291512906,824108.6124616672,1.0238366E7,5.0,8.0344992E7,172044.9507494647,1289109.5730270627,1.0240041E7,25.0,9.6634146E7,108944.9222096956,1017044.8299163507,1.0240617E7,29.0,0,0,0,0,14976,28416,4.843008598637587,9.189298366645678,0.0,2112.0,924.5777450257914,688.2161740672134,473641.502247713,1,0,0,41,1356,0,0,0,1.0,925.259587020649,7.756410256410256,1408.8085585585586,0,0,0,0,294,1188593,0,2,0,922,-1,309,3,0,0,0,0,0,1.5730617609915958E15,4.278162798647791E13,1.57422445871377E15,9845668.0,No Label
192.168.14.155-110.93.194.206-45382-443-6,192.168.14.155,45382,110.93.194.206,443,6,20/11/2019 09:34:28 AM,38,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,815789.4736842104,52631.57894736842,38.0,0.0,38.0,38.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,26315.78947368421,26315.78947368421,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,0,0,0,15,-1,3637,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/11/2019 09:32:51 AM,119885061,192,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6098753121541975,624401.3593750002,876310.7443583561,8181625.0,267.0,1.19883931E8,627664.560209424,877443.4106882426,8181625.0,267.0,0,0,0,0,0,0,0,0,0,0,0,1.601533989293295,0.008341322860902578,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1.5742244344464068E15,3.602208294750558E7,1.574224491076188E15,1.574224371354224E15,No Label
136.153.35.0-0.0.32.20-0-0-0,136.153.35.0,0,0.0.32.20,0,0,20/11/2019 09:32:51 AM,119999200,120,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0083400556003705,999993.333333333,47.54782348548842,1000183.0,999819.0,1.18999205E8,999993.3193277312,47.74862368645861,1000183.0,999819.0,0,0,0,0,0,0,0,0,0,0,0,1.0000066667111114,0.008333388889259262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1.5742244318782922E15,3.4496154298212126E7,1.574224490877875E15,1.574224372878656E15,No Label
192.168.14.155-216.58.207.110-48666-443-6,192.168.14.155,48666,216.58.207.110,443,6,20/11/2019 09:32:58 AM,119996392,73,113,14044.0,5035.0,942.0,0.0,192.38356164383563,273.77391474114927,508.0,0.0,44.5575221238938,74.25546373032294,158.9964471598446,1.5500466047345824,648629.1459459458,2448151.157328015,1.7324587E7,3.0,1.19871895E8,1664887.4305555555,3725496.47888951,1.7340267E7,21.0,1.03991758E8,928497.8392857147,2736763.31025075,1.7341543E7,3.0,0,1,0,0,2336,3616,0.6083516244388415,0.9416949802957408,0.0,942.0,104.7433155080214,196.01881190093937,38423.37461905585,0,0,0,113,186,0,0,0,1.0,105.30645161290323,192.3835616438356,44.557522123893804,0,0,0,0,7,6947,0,75,0,27,-1,1050,51,0,0,0,0,0,1.57422442826079E15,3.339813077437168E7,1.574224498920273E15,1.574224378965935E15,No Label
192.168.14.155-74.125.167.92-41082-443-6,192.168.14.155,41082,74.125.167.92,443,6,20/11/2019 09:32:51 AM,119304848,1571,2997,7398.0,4154741.0,1323.0,0.0,4.709102482495221,76.1794564974788,2016.0,0.0,1386.2999666333003,111.94110441571185,34886.58734136269,38.28846921627191,26123.242391066382,483534.81450432114,1.0231118E7,3.0,1.10429914E8,70337.52484076432,792734.0693429632,1.0243951E7,269.0,1.19304848E8,39821.37783711613,597476.4489053542,1.0244012E7,31.0,0,0,0,0,50608,95904,13.16794770988686,25.120521506385053,0.0,2016.0,910.9518494200028,664.1457903057424,441089.63078083907,0,0,0,43,4568,0,0,0,1.0,911.1512697022767,4.709102482495226,1386.2999666333,0,0,0,0,498,1176024,0,1,0,909,-1,330,6,0,0,0,0,0,1.574224422198628E15,3.666391377546201E7,1.57422449071133E15,1.574224371448291E15,No Label
