Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
140.82.114.4-192.168.14.155-443-46566-6,192.168.14.155,46566,140.82.114.4,443,6,11/11/2019 01:53:19 PM,28,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,857142.8571428572,71428.57142857143,28.0,0.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,35714.28571428572,35714.28571428572,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,0,0,0,12,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
140.82.114.4-192.168.14.155-443-46564-6,192.168.14.155,46564,140.82.114.4,443,6,11/11/2019 01:52:16 PM,62676322,37,59,2575.0,61975.0,1068.0,0.0,69.59459459459458,240.96328206451562,1424.0,0.0,1050.4237288135594,578.6853770695541,1029.8945110403895,1.5316789010050718,659750.7578947368,2401005.5153902187,1.0140021E7,8.0,6.2480382E7,1735566.1666666665,3756629.9445767347,1.0240049E7,191.0,6.2676322E7,1080626.2413793104,3068383.923400088,1.0378286E7,31.0,0,0,0,0,1184,1904,0.5903345764290381,0.9413443245760337,0.0,1424.0,665.4639175257732,675.7453610313031,456631.7929553262,1,2,0,44,95,0,0,0,1.0,672.3958333333334,69.5945945945946,1050.4237288135594,0,0,0,0,26,56556,0,26,0,645,-1,34,4,0,0,0,0,0,1.5734623425610572E15,1.2507478970876213E7,1.57346239926018E15,1.573462336779901E15,No Label
140.82.114.4-192.168.14.155-443-46564-6,192.168.14.155,46564,140.82.114.4,443,6,11/11/2019 01:53:19 PM,27,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,888888.8888888889,74074.07407407407,27.0,0.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,37037.03703703704,37037.03703703704,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,0,0,0,12,-1,769,0,0,0,0,0,0,0,0,0,0,No Label
140.82.114.4-192.168.14.155-443-46568-6,192.168.14.155,46568,140.82.114.4,443,6,11/11/2019 01:52:17 PM,62868592,41,44,2553.0,41265.0,1038.0,0.0,62.26829268292685,227.058034915112,1424.0,0.0,937.8409090909091,647.0142136816864,696.9775941538503,1.3520264617982856,748435.619047619,2529481.4947547205,1.0242359E7,4.0,6.2615202E7,1565380.05,3597214.663972426,1.0496087E7,310.0,6.2868592E7,1462060.2790697673,3494715.252306336,1.0496333E7,5.0,0,0,0,0,1312,1424,0.6521539403968201,0.6998725214014655,0.0,1424.0,509.51162790697674,656.1598396407074,430545.7351573189,1,2,0,21,84,0,0,0,1.0,515.5058823529412,62.26829268292683,937.8409090909091,0,0,0,0,18,26863,0,30,0,485,-1,33,4,0,0,0,0,0,1.5734623441294298E15,1.324952877133054E7,1.57346239964537E15,1.573462337030439E15,No Label
140.82.114.4-192.168.14.155-443-46568-6,192.168.14.155,46568,140.82.114.4,443,6,11/11/2019 01:53:19 PM,27,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,888888.8888888889,74074.07407407407,27.0,0.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,37037.03703703704,37037.03703703704,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,0,0,0,12,-1,750,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.155-54.209.100.254-60882-443-6,192.168.14.155,60882,54.209.100.254,443,6,11/11/2019 01:52:19 PM,61156865,15,14,4343.0,1292.0,2032.0,0.0,289.5333333333334,658.6444810221616,558.0,0.0,92.2857142857143,201.05124818215972,92.14010561201918,0.47419042817188223,2184173.7499999995,4098568.602026924,1.0076556E7,12.0,6.0957663E7,4354118.785714285,5124261.83210681,1.027603E7,30.0,6.115649E7,4704345.384615384,5165997.720183433,1.0275694E7,290.0,0,0,0,0,480,464,0.24527091112338736,0.22891951704849486,0.0,2032.0,187.83333333333331,488.38552347528673,238520.41954022986,1,2,0,9,28,0,0,0,0.0,194.31034482758622,289.53333333333336,92.28571428571429,0,0,0,0,7,9018,0,149,0,44,-1,155,5,0,0,0,0,0,1.5734623563711682E15,2.178318687600764E7,1.573462400477079E15,1.573462339320344E15,No Label
140.82.114.6-192.168.14.155-443-34914-6,192.168.14.155,34914,140.82.114.6,443,6,11/11/2019 01:52:21 PM,62039173,17,17,6195.0,5435.0,2848.0,0.0,364.4117647058824,796.135121918975,1424.0,0.0,319.70588235294116,524.1317540354098,187.46220230885413,0.5480408322012932,1879974.9393939397,3837696.3860941934,1.0240108E7,7.0,5.3028144E7,3314259.0,4906592.429524642,1.0500134E7,7.0,6.2039173E7,3877448.3125,4993336.320512285,1.0499838E7,45.0,0,0,0,0,544,560,0.2740204161006466,0.2740204161006466,0.0,2848.0,332.28571428571433,656.8053956318358,431393.32773109234,1,2,0,9,33,0,0,0,1.0,342.05882352941177,364.4117647058824,319.70588235294116,0,0,0,0,12,9374,0,182,0,159,-1,43,5,0,0,0,0,0,1.5242916530119645E15,2.781514731691342E14,1.573462394971837E15,8231315.0,No Label
140.82.114.6-192.168.14.155-443-34914-6,192.168.14.155,34914,140.82.114.6,443,6,11/11/2019 01:53:23 PM,332515,3,2,24.0,24.0,24.0,0.0,8.0,13.856406460551018,24.0,0.0,12.0,16.97056274847714,144.35439002751755,15.036915627866412,83128.75,165970.22409933453,332084.0,30.0,368.0,184.0,217.78888860545663,338.0,30.0,332084.0,332084.0,0.0,332084.0,332084.0,0,0,0,0,96,76,9.022149376719847,6.014766251146565,0.0,24.0,8.0,12.393546707863734,153.6,1,0,0,2,5,0,0,0,0.0,9.6,8.0,12.0,0,0,0,0,0,0,0,4,0,4,-1,43,1,0,0,0,0,0,1.5734624041491385E15,235013.30268837974,1.573462404315318E15,1.573462403982959E15,No Label
192.168.14.177-111.68.97.58-57083-1433-6,111.68.97.58,1433,192.168.14.177,57083,6,11/11/2019 01:53:28 PM,11,1,1,0.0,118.0,0.0,0.0,0.0,0.0,118.0,118.0,118.0,0.0,1.0727272727272728E7,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,90909.09090909091,90909.09090909091,0.0,118.0,78.66666666666666,68.12733176437584,4641.333333333334,1,0,0,1,2,0,0,0,1.0,118.0,0.0,118.0,0,0,0,0,0,0,0,0,0,59,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
192.168.14.177-111.68.6.254-57843-1433-6,111.68.6.254,1433,192.168.14.177,57843,6,11/11/2019 01:53:30 PM,2222,1,1,0.0,88.0,0.0,0.0,0.0,0.0,88.0,88.0,88.0,0.0,39603.960396039605,900.0900090009001,2222.0,0.0,2222.0,2222.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,450.04500450045003,450.04500450045003,0.0,88.0,58.66666666666667,50.80682368868706,2581.333333333333,1,0,0,1,2,0,0,0,1.0,88.0,0.0,88.0,0,0,0,0,0,0,0,0,0,44,-1,256,0,0,0,0,0,0,0,0,0,0,No Label
